name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Hab Lebuh Pudu (TP),101.6986534,3.1467318,bus_station,Jalan Tun Perak,Bukit Bintang,,,Kuala Lumpur,Kuala Lumpur,"50050",Malaysia,"Rapid Bus;MARA Liner",KL113,station,,limited,Rapid KL Bus
C,101.6991821,3.1385646,subway_entrance,Jalan Maharajalela,Bukit Bintang,,,Kuala Lumpur,Kuala Lumpur,"50118",Malaysia,,C,,,,
,101.7161427,3.1287493,subway_entrance,Jalan Chan Sow Lin,Pudu,,,Kuala Lumpur,Kuala Lumpur,"55200",Malaysia,,,,,,
Batu 5 Gombak,101.7117465,3.2132158,taxi,Jalan Gombak,,,,Kuala Lumpur,Kuala Lumpur,"53100",Malaysia,,,,,,
Limbang Wet Market Taxi Stand,115.0094853,4.75356,taxi,Lorong Limbang Town Park 2,,,,Limbang,Sarawak,"98708",Malaysia,,,,,,
LRT Titiwangsa,101.6957096,3.1729554,taxi,Jalan Tun Razak,Sentul,,,Kuala Lumpur,Kuala Lumpur,"50400",Malaysia,,,,,,
Sibu,111.8296804,2.2853172,ferry_terminal,Jalan Maju,,,,Sibu,Sarawak,"96000",Malaysia,,,station,,,
,110.4308858,1.6636983,ferry_terminal,Jalan Haruan,,,,,Sarawak,,Malaysia,,,station,,,
,100.3910771,5.2696047,ferry_terminal,Pengkalan Cassia,,,Batu Kawan,,Pulau Pinang,"14110",Malaysia,,,station,,,
,100.3920022,5.2688063,ferry_terminal,Pengkalan Cassia,,,Batu Kawan,,Pulau Pinang,"14110",Malaysia,,,station,,,
Song,112.5507083,2.011267,ferry_terminal,Mission Road,,,Song,,Sarawak,"96850",Malaysia,,,station,,,
Mentakab,102.3433873,3.4844251,station,Jalan Tun Razak,,,Mentakab,,Pahang,"28400",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
